Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2023-04-01, Phường Bến Thành,2023,4,2,0.8660254037844387,-0.4999999999999998,20.44956542995682,760559898.5617988,20.327794195758475,20.473254869929594,20.33907081770807,20.380039961132045,20.372338906965965
2023-05-01, Phường Bến Thành,2023,5,2,0.49999999999999994,-0.8660254037844387,20.24667423816157,620896051.2225934,20.44956542995682,20.327794195758475,20.473254869929594,20.416871498548293,20.377375140645373
2023-06-01, Phường Bến Thành,2023,6,2,1.2246467991473532e-16,-1.0,20.13967316352125,557890442.6484414,20.24667423816157,20.44956542995682,20.327794195758475,20.34134462129229,20.370209877321546
2023-07-01, Phường Bến Thành,2023,7,3,-0.4999999999999997,-0.8660254037844388,20.104118000966487,538403048.8678794,20.13967316352125,20.24667423816157,20.44956542995682,20.27863761054655,20.329338785839298
2023-08-01, Phường Bến Thành,2023,8,3,-0.8660254037844384,-0.5000000000000004,19.811200171099028,401693600.6807725,20.104118000966487,20.13967316352125,20.24667423816157,20.16348846754977,20.290179983049033
2023-09-01, Phường Bến Thành,2023,9,3,-1.0,-1.8369701987210297e-16,20.150987784646784,564238607.4632022,19.811200171099028,20.104118000966487,20.13967316352125,20.018330445195588,20.179837533243937
2023-10-01, Phường Bến Thành,2023,10,4,-0.8660254037844386,0.5000000000000001,20.003975024944914,487097576.2525279,20.150987784646784,19.811200171099028,20.104118000966487,20.022101985570767,20.15036979805866
2023-11-01, Phường Bến Thành,2023,11,4,-0.5000000000000004,0.8660254037844384,20.42683107020342,743464123.2685726,20.003975024944914,20.150987784646784,19.811200171099028,19.988720993563575,20.07610473055667
2023-12-01, Phường Bến Thành,2023,12,4,-2.4492935982947064e-16,1.0,20.238367790737723,615759971.6278592,20.42683107020342,20.003975024944914,20.150987784646784,20.193931293265038,20.106130869230313
2024-01-01, Phường Bến Thành,2024,1,1,0.49999999999999994,0.8660254037844387,20.034524731431553,502207897.0328387,20.238367790737723,20.42683107020342,20.003975024944914,20.223057961962017,20.122579973766392
